sample_idx,model_type,rel_l2,pde_residual
149,Data-Driven FNO,0.5252975225448608,212.09530639648438
150,PI-FNO,0.8940078020095825,16.95545196533203
150,Data-Driven FNO,0.9167730212211609,30.501415252685547
151,PI-FNO,0.43960368633270264,13.540879249572754
151,Data-Driven FNO,0.3983137607574463,22.82762908935547
152,PI-FNO,0.4783690869808197,5.823959827423096
152,Data-Driven FNO,0.5066198110580444,12.733236312866211
153,PI-FNO,0.5602335333824158,53.973304748535156
153,Data-Driven FNO,0.5637483596801758,94.51375579833984
154,PI-FNO,0.5986394286155701,16.82076644897461
154,Data-Driven FNO,0.6503622531890869,26.666776657104492
155,PI-FNO,0.4143601059913635,32.138771057128906
155,Data-Driven FNO,0.42826855182647705,45.419151306152344
156,PI-FNO,0.32630684971809387,40.01115417480469
156,Data-Driven FNO,0.3799847364425659,67.31946563720703
157,PI-FNO,0.3829042613506317,43.30839538574219
157,Data-Driven FNO,0.3801663815975189,58.589866638183594
158,PI-FNO,0.86065274477005,3.9647324085235596
158,Data-Driven FNO,0.8838937282562256,6.101165294647217
159,PI-FNO,0.4791609048843384,38.708866119384766
159,Data-Driven FNO,0.42793869972229004,66.24079895019531
160,PI-FNO,0.39509832859039307,85.18437957763672
160,Data-Driven FNO,0.47249361872673035,143.85519409179688
161,PI-FNO,0.6199367642402649,52.4135856628418
161,Data-Driven FNO,0.5772532224655151,62.491798400878906
162,PI-FNO,0.2805352509021759,33.116966247558594
162,Data-Driven FNO,0.3134053349494934,58.95366668701172
163,PI-FNO,0.25238165259361267,18.13404655456543
163,Data-Driven FNO,0.30643633008003235,27.592361450195312
164,PI-FNO,0.47385284304618835,10.763699531555176
164,Data-Driven FNO,0.499930202960968,17.691513061523438
165,PI-FNO,0.3710803985595703,48.67045974731445
165,Data-Driven FNO,0.3604127764701843,48.14369201660156
166,PI-FNO,0.48706716299057007,46.57522201538086
166,Data-Driven FNO,0.49273645877838135,70.7804183959961
167,PI-FNO,0.5458720922470093,60.471553802490234
167,Data-Driven FNO,0.5565122365951538,115.31217956542969
168,PI-FNO,0.433684378862381,35.24161911010742
168,Data-Driven FNO,0.4856763780117035,52.579124450683594
169,PI-FNO,0.36431097984313965,103.88392639160156
169,Data-Driven FNO,0.3888617753982544,149.05690002441406
170,PI-FNO,0.3378757834434509,22.37828826904297
170,Data-Driven FNO,0.3589104413986206,44.83320236206055
171,PI-FNO,0.2837180495262146,32.308162689208984
171,Data-Driven FNO,0.3082387149333954,66.0984878540039
172,PI-FNO,0.3822650909423828,86.14100646972656
172,Data-Driven FNO,0.37169668078422546,131.68145751953125
173,PI-FNO,0.5224955081939697,5.9010210037231445
173,Data-Driven FNO,0.5055818557739258,14.54613971710205
174,PI-FNO,0.3157930076122284,36.2145881652832
174,Data-Driven FNO,0.3529227375984192,91.28601837158203
175,PI-FNO,0.45299628376960754,3.428133487701416
175,Data-Driven FNO,0.5489150285720825,5.265507221221924
176,PI-FNO,0.5310181379318237,7.225899696350098
176,Data-Driven FNO,0.5702508687973022,13.076879501342773
177,PI-FNO,0.38047081232070923,5.104935646057129
177,Data-Driven FNO,0.3901773989200592,10.02441120147705
178,PI-FNO,0.23545202612876892,32.589359283447266
178,Data-Driven FNO,0.2695358097553253,48.89738845825195
179,PI-FNO,0.5003025531768799,24.49104118347168
179,Data-Driven FNO,0.5143230557441711,29.270278930664062
180,PI-FNO,0.49292510747909546,29.423891067504883
180,Data-Driven FNO,0.5734685063362122,50.5136833190918
181,PI-FNO,0.5045536160469055,19.178142547607422
181,Data-Driven FNO,0.5362711548805237,38.40273666381836
182,PI-FNO,0.2898300886154175,21.420568466186523
182,Data-Driven FNO,0.3383192718029022,37.56108474731445
183,PI-FNO,0.17953334748744965,31.993881225585938
183,Data-Driven FNO,0.21462860703468323,62.78116989135742
184,PI-FNO,0.4221912920475006,43.116859436035156
184,Data-Driven FNO,0.3713389039039612,66.08381652832031
185,PI-FNO,0.5811466574668884,14.421382904052734
185,Data-Driven FNO,0.5735646486282349,31.043210983276367
186,PI-FNO,0.4032658040523529,2.6604154109954834
186,Data-Driven FNO,0.39155521988868713,6.0784687995910645
187,PI-FNO,0.32787343859672546,27.8615779876709
187,Data-Driven FNO,0.34125643968582153,45.254608154296875
188,PI-FNO,0.41772761940956116,97.06220245361328
188,Data-Driven FNO,0.4215676486492157,168.42930603027344
189,PI-FNO,0.5813528895378113,60.63080596923828
